दस्तावेज़ | Department of Justice | भारत खोजें खोजें Accessibility Tools Accessibility Tools Color Contrast उच्च कंट्रास्ट सामान्य कंट्रास्ट Highlight Links Invert Saturation Text Size फ़ॉन्ट आकार बढ़ाएं फ़ॉन्ट का आकार घटाएं सामान्य फ़ॉन्ट Text Spacing Line Height Other controls Screen Reader Hide Images हिन्दी English विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle और मुख्य पृष्ठ विभाग के बारे में इतिहास विभाग के बारे में विजन और मिशन विभाग के कार्य संगठनात्मक चार्ट प्रशासनिक सेटअप कौन क्या है मासिक उपलब्धियां नियम और अधिनियम सिटीजन चार्टर वेबसाइट सूचना प्रबंधक न्याय का प्रशासन न्यायाधीशों की नियुक्ति नियुक्ति एवं स्थानांतरण आदि के आदेश उच्चतम न्यायालय के न्यायाधीशों की नियुक्ति का प्रक्रिया ज्ञापन उच्च न्यायालय के न्यायाधीशों की नियुक्ति का प्रक्रिया ज्ञापन उच्चतम न्यायालय के न्यायाधीशों की सूची उच्च न्यायालय के न्यायाधीशों की सूची रिक्तियों की स्थिति उच्च न्यायालयों के मुख्य न्यायाधीशों की सूची उच्च न्यायालयवार रिक्तियाँ उच्च न्यायालयों की प्रधान सीट एवं खंडपीठें न्याय-I वेतन, भत्ता और पेंशन पहला राष्ट्रीय न्यायिक वेतन आयोग दूसरा राष्ट्रीय न्यायिक वेतन आयोग अन्य देशों के साथ हस्ताक्षरित समझौता ज्ञापन दिल्ली जिला न्यायालयों का आर्थिक क्षेत्राधिकार हिन्दी और क्षेत्रीय भाषा का उपयोग जन शिकायतों का निवारण न्याय-II फास्ट ट्रैक स्पेशल कोर्ट MP/MLA के लिए विशेष न्यायालय फास्ट ट्रैक कोर्ट कुटुंब न्यायालय राष्ट्रीय न्यायिक अकादमी राष्ट्रीय न्यायिक अकादमी, भोपाल राष्ट्रीय न्यायिक अकादमी पोर्टल पीएफएमएस नेशनल मिशन न्याय प्रदायगी और विधिक सुधार का राष्ट्रीय मिशन विजन दस्तावेज सलाहकार परिषद सीएसएस न्यायिक ढांचा न्याय विकास व्यापार में आसानी ग्राम न्यायालय न्यायिक सुधार पर कार्य अनुसंधान और अध्ययन की योजना जिला और अधीनस्थ न्यायालयों में रिक्तियों की स्थिति ई-कोर्ट एमएमपी डैशबोर्ड परियोजना-I परियोजना-II परियोजना-III ई-समिति की संरचना ई-समिति समाचार ई-कोर्ट की उपलब्धियां कम्प्यूटरीकरण और वैन कनेक्टिविटी सीआईएस और कोविड प्रबंधन पैच राष्ट्रीय न्यायिक डाटा ग्रिड (एनजेडीजी) वर्चुअल अदालतें वीडियो कॉन्फ्रेंसिंग लाइव स्ट्रीमिंग ई-फाइलिंग ई-पेमेंट ई-सेवा केंद्र ई-कोर्ट सेवाएँ जजमेंट सर्च पोर्टल नेशनल सर्विस एंड ट्रैकिंग ऑफ इलेक्ट्रोनिक प्रोसेसज (NSTEP) जस्टिस क्लॉक S3WAaS प्लेटफॉर्म की विशेषताएं अभिलेखों का डिजिटीकरण सूचना, शिक्षा और संचार (आईईसी) पुरस्कार और मान्यता सीपीसी के लिए MIS पोर्टल (केवल कार्यालय प्रयोग हेतु) WAN मॉनिटरिंग पोर्टल (केवल कार्यालय प्रयोग हेतु) प्रशिक्षण और जागरूकता कार्यक्रम पीएफएमएस न्याय तक पहुँच डिजाइनिंग इनोवेटिव सोल्युशन फॉर होलिस्टिक एक्सेस टू जस्टिस (DISHA) टेली लॉ योजना बारे में टेली-लॉ पोर्टल पत्रिका न्याय बंधु (प्रो-बोनो लीगल सर्विस) बारे में न्याय बंधु गतिविधियां मीडिया में पुस्तिका न्याय बंधु (प्रो-बोनो) पोर्टल विधिक साक्षारता और विधिक जागरूकता बारे में आईईसी सामग्री विवरणिका पुस्तिका पत्रिका वेबिनार डिजिटल पुस्तकालय विभिन्न भाषाओं में जानकारी वीडियो राष्ट्रीय विधिक सेवा प्राधिकरण (नालसा) बारे में नासला पोर्टल नालसा को सहायता अनुदान संविधान@75 हमारा संविधान हमारा सम्मान के बारे में सबको न्याय-हर घर न्याय अवलोकन गतिविधियाँ नव भारत नव संकल्प अवलोकन गतिविधियाँ विधि जागृति अभियान अवलोकन गतिविधियाँ मिडिया गैलरी फोटो गैलरी वीडियो मीडिया कॉर्नर प्रेस विज्ञप्ति फोटो गैलरी वीडियो गैलरी इवेंट्स आजादी का अमृत महोत्सव राष्ट्रीय विधिक सेवा प्राधिकरण टेली-लॉ अन्य कार्यक्रम AV कार्नर अन्य संसदीय प्रश्न नोटिस नियुक्ति निविदाएं सूचना का अधिकार पीएफ़एमएस आदेश योजना – समेकित दिशानिर्देश English हिन्दी Close मुख्य पृष्ठ दस्तावेज़ Print फेसबुक पर साझा करें Share on X Share on Linkedin दस्तावेज़ दस्तावेज़ श्रेणी के आधार पर फ़िल्टर करें सभी कार्यालय आदेश नियम और विनियम निविदाएं निष्पादन बजट परिपत्र / अधिसूचना बजट जानकारी वार्षिक रिपोर्ट आरटीआई दस्तावेज़ / नियमावली नियुक्ति एवं स्थानांतरण आदि के आदेश मासिक उपलब्धियां फ़िल्टर सभी दस्तावेज़ शीर्षक दिनांक देखें/डाउनलोड मद्रास उच्च न्यायालय के 05 अतिरिक्त न्यायाधीशों की उस उच्च न्यायालय के स्थायी न्यायाधीश के रूप में नियुक्ति का आदेश (12.09.2023) 12/09/2023 पहुँच योग्य संस्करण : देखें (6 MB) / जुलाई, 2023 की मासिक उपलब्धि 11/08/2023 पहुँच योग्य संस्करण : देखें (533 KB) / जून, 2023 की मासिक उपलब्धि पहुँच योग्य संस्करण : देखें (613 KB) / मई, 2023 की मासिक उपलब्धि 08/06/2023 पहुँच योग्य संस्करण : देखें (604 KB) / अप्रैल, 2023 की मासिक उपलब्धि 10/05/2023 पहुँच योग्य संस्करण : देखें (538 KB) / श्री एस.एस. मिश्रा, अधिवक्ता एवं श्री आनंद सी. बेहरा, न्यायिक अधिकारी का उड़ीसा एचसी के न्यायाधीश के रूप में नियुक्ति आदेश (02.09.2023) 02/09/2023 पहुँच योग्य संस्करण : देखें (128 KB) / श्री बुडी हाबुंग, न्यायिक अधिकारी का गौहाटी उच्च न्यायालय के अतिरिक्त न्यायाधीश के रूप में नियुक्ति आदेश (02.09.2023). 02/09/2023 पहुँच योग्य संस्करण : देखें (136 KB) / श्रीमती न्यायमूर्ति सी. सुधा, अतिरिक्त न्यायाधीश, केरल उच्च न्यायालय का केरल उच्च न्यायालय के स्थायी न्यायाधीश के रूप में नियुक्ति आदेश (02.09.2023). 02/09/2023 पहुँच योग्य संस्करण : देखें (125 KB) / मार्च, 2023 की मासिक उपलब्धि 11/04/2023 पहुँच योग्य संस्करण : देखें (571 KB) / इलाहाबाद उच्च न्यायालय में अपर न्यायाधीश के रूप में श्री प्रशांत कुमार और 02 अन्य की नियुक्ति का आदेश (23.02.2023) 23/02/2023 पहुँच योग्य संस्करण : देखें (61 KB) / मद्रास उच्च न्यायालय के अपर न्यायाधीश के रूप में श्री वेंकटचारी लक्ष्मीनारायणन की नियुक्ति का आदेश (23.02.2023) 23/02/2023 पहुँच योग्य संस्करण : देखें (59 KB) / फ़रवरी, 2023 की मासिक उपलब्धि 21/03/2023 पहुँच योग्य संस्करण : देखें (306 KB) / जनवरी, 2023 की मासिक उपलब्धि 14/02/2023 पहुँच योग्य संस्करण : देखें (1 MB) / दिसंबर, 2022 की मासिक उपलब्धि 16/01/2023 पहुँच योग्य संस्करण : देखें (271 KB) / नवंबर, 2022 की मासिक उपलब्धि 16/12/2022 पहुँच योग्य संस्करण : देखें (272 KB) / अक्टूबर, 2022 की मासिक उपलब्धि 25/11/2022 पहुँच योग्य संस्करण : देखें (315 KB) / सितंबर, 2022 की मासिक उपलब्धि 25/11/2022 पहुँच योग्य संस्करण : देखें (277 KB) / अगस्त, 2022 की मासिक उपलब्धि 22/09/2022 पहुँच योग्य संस्करण : देखें (312 KB) / जुलाई, 2022 की मासिक उपलब्धि 24/08/2022 पहुँच योग्य संस्करण : देखें (247 KB) / जून, 2022 की मासिक उपलब्धि 24/08/2022 पहुँच योग्य संस्करण : देखें (305 KB) / « Prev 1 2 3 4 अगला » वेबसाइट नीतियां नियम और शर्तें प्रतिक्रिया हमसे संपर्क करें सहायता अक्सर पूछे जाने वाले प्रश्न वेब सूचना प्रबंधक आगंतुक सारांश Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India अंतिम अद्यतन: Aug 11, 2025 Certified Quality Website

TABLE DATA:
शीर्षक	दिनांक	देखें/डाउनलोड
मद्रास उच्च न्यायालय के 05 अतिरिक्त न्यायाधीशों की उस उच्च न्यायालय के स्थायी न्यायाधीश के रूप में नियुक्ति का आदेश (12.09.2023)	12/09/2023	पहुँच योग्य संस्करण : देखें (6 MB) /
जुलाई, 2023 की मासिक उपलब्धि	11/08/2023	पहुँच योग्य संस्करण : देखें (533 KB) /
जून, 2023 की मासिक उपलब्धि		पहुँच योग्य संस्करण : देखें (613 KB) /
मई, 2023 की मासिक उपलब्धि	08/06/2023	पहुँच योग्य संस्करण : देखें (604 KB) /
अप्रैल, 2023 की मासिक उपलब्धि	10/05/2023	पहुँच योग्य संस्करण : देखें (538 KB) /
श्री एस.एस. मिश्रा, अधिवक्ता एवं श्री आनंद सी. बेहरा, न्यायिक अधिकारी का उड़ीसा एचसी के न्यायाधीश के रूप में नियुक्ति आदेश (02.09.2023)	02/09/2023	पहुँच योग्य संस्करण : देखें (128 KB) /
श्री बुडी हाबुंग, न्यायिक अधिकारी का गौहाटी उच्च न्यायालय के अतिरिक्त न्यायाधीश के रूप में नियुक्ति आदेश (02.09.2023).	02/09/2023	पहुँच योग्य संस्करण : देखें (136 KB) /
श्रीमती न्यायमूर्ति सी. सुधा, अतिरिक्त न्यायाधीश, केरल उच्च न्यायालय का केरल उच्च न्यायालय के स्थायी न्यायाधीश के रूप में नियुक्ति आदेश (02.09.2023).	02/09/2023	पहुँच योग्य संस्करण : देखें (125 KB) /
मार्च, 2023 की मासिक उपलब्धि	11/04/2023	पहुँच योग्य संस्करण : देखें (571 KB) /
इलाहाबाद उच्च न्यायालय में अपर न्यायाधीश के रूप में श्री प्रशांत कुमार और 02 अन्य की नियुक्ति का आदेश (23.02.2023)	23/02/2023	पहुँच योग्य संस्करण : देखें (61 KB) /
मद्रास उच्च न्यायालय के अपर न्यायाधीश के रूप में श्री वेंकटचारी लक्ष्मीनारायणन की नियुक्ति का आदेश (23.02.2023)	23/02/2023	पहुँच योग्य संस्करण : देखें (59 KB) /
फ़रवरी, 2023 की मासिक उपलब्धि	21/03/2023	पहुँच योग्य संस्करण : देखें (306 KB) /
जनवरी, 2023 की मासिक उपलब्धि	14/02/2023	पहुँच योग्य संस्करण : देखें (1 MB) /
दिसंबर, 2022 की मासिक उपलब्धि	16/01/2023	पहुँच योग्य संस्करण : देखें (271 KB) /
नवंबर, 2022 की मासिक उपलब्धि	16/12/2022	पहुँच योग्य संस्करण : देखें (272 KB) /
अक्टूबर, 2022 की मासिक उपलब्धि	25/11/2022	पहुँच योग्य संस्करण : देखें (315 KB) /
सितंबर, 2022 की मासिक उपलब्धि	25/11/2022	पहुँच योग्य संस्करण : देखें (277 KB) /
अगस्त, 2022 की मासिक उपलब्धि	22/09/2022	पहुँच योग्य संस्करण : देखें (312 KB) /
जुलाई, 2022 की मासिक उपलब्धि	24/08/2022	पहुँच योग्य संस्करण : देखें (247 KB) /
जून, 2022 की मासिक उपलब्धि	24/08/2022	पहुँच योग्य संस्करण : देखें (305 KB) /
