राज्यसभा-बजट सत्र-2022 | Department of Justice | भारत खोजें खोजें Accessibility Tools Accessibility Tools Color Contrast उच्च कंट्रास्ट सामान्य कंट्रास्ट Highlight Links Invert Saturation Text Size फ़ॉन्ट आकार बढ़ाएं फ़ॉन्ट का आकार घटाएं सामान्य फ़ॉन्ट Text Spacing Line Height Other controls Screen Reader Hide Images हिन्दी English विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle और मुख्य पृष्ठ विभाग के बारे में इतिहास विभाग के बारे में विजन और मिशन विभाग के कार्य संगठनात्मक चार्ट प्रशासनिक सेटअप कौन क्या है मासिक उपलब्धियां नियम और अधिनियम सिटीजन चार्टर वेबसाइट सूचना प्रबंधक न्याय का प्रशासन न्यायाधीशों की नियुक्ति नियुक्ति एवं स्थानांतरण आदि के आदेश उच्चतम न्यायालय के न्यायाधीशों की नियुक्ति का प्रक्रिया ज्ञापन उच्च न्यायालय के न्यायाधीशों की नियुक्ति का प्रक्रिया ज्ञापन उच्चतम न्यायालय के न्यायाधीशों की सूची उच्च न्यायालय के न्यायाधीशों की सूची रिक्तियों की स्थिति उच्च न्यायालयों के मुख्य न्यायाधीशों की सूची उच्च न्यायालयवार रिक्तियाँ उच्च न्यायालयों की प्रधान सीट एवं खंडपीठें न्याय-I वेतन, भत्ता और पेंशन पहला राष्ट्रीय न्यायिक वेतन आयोग दूसरा राष्ट्रीय न्यायिक वेतन आयोग अन्य देशों के साथ हस्ताक्षरित समझौता ज्ञापन दिल्ली जिला न्यायालयों का आर्थिक क्षेत्राधिकार हिन्दी और क्षेत्रीय भाषा का उपयोग जन शिकायतों का निवारण न्याय-II फास्ट ट्रैक स्पेशल कोर्ट MP/MLA के लिए विशेष न्यायालय फास्ट ट्रैक कोर्ट कुटुंब न्यायालय राष्ट्रीय न्यायिक अकादमी राष्ट्रीय न्यायिक अकादमी, भोपाल राष्ट्रीय न्यायिक अकादमी पोर्टल पीएफएमएस नेशनल मिशन न्याय प्रदायगी और विधिक सुधार का राष्ट्रीय मिशन विजन दस्तावेज सलाहकार परिषद सीएसएस न्यायिक ढांचा न्याय विकास व्यापार में आसानी ग्राम न्यायालय न्यायिक सुधार पर कार्य अनुसंधान और अध्ययन की योजना जिला और अधीनस्थ न्यायालयों में रिक्तियों की स्थिति ई-कोर्ट एमएमपी डैशबोर्ड परियोजना-I परियोजना-II परियोजना-III ई-समिति की संरचना ई-समिति समाचार ई-कोर्ट की उपलब्धियां कम्प्यूटरीकरण और वैन कनेक्टिविटी सीआईएस और कोविड प्रबंधन पैच राष्ट्रीय न्यायिक डाटा ग्रिड (एनजेडीजी) वर्चुअल अदालतें वीडियो कॉन्फ्रेंसिंग लाइव स्ट्रीमिंग ई-फाइलिंग ई-पेमेंट ई-सेवा केंद्र ई-कोर्ट सेवाएँ जजमेंट सर्च पोर्टल नेशनल सर्विस एंड ट्रैकिंग ऑफ इलेक्ट्रोनिक प्रोसेसज (NSTEP) जस्टिस क्लॉक S3WAaS प्लेटफॉर्म की विशेषताएं अभिलेखों का डिजिटीकरण सूचना, शिक्षा और संचार (आईईसी) पुरस्कार और मान्यता सीपीसी के लिए MIS पोर्टल (केवल कार्यालय प्रयोग हेतु) WAN मॉनिटरिंग पोर्टल (केवल कार्यालय प्रयोग हेतु) प्रशिक्षण और जागरूकता कार्यक्रम पीएफएमएस न्याय तक पहुँच डिजाइनिंग इनोवेटिव सोल्युशन फॉर होलिस्टिक एक्सेस टू जस्टिस (DISHA) टेली लॉ योजना बारे में टेली-लॉ पोर्टल पत्रिका न्याय बंधु (प्रो-बोनो लीगल सर्विस) बारे में न्याय बंधु गतिविधियां मीडिया में पुस्तिका न्याय बंधु (प्रो-बोनो) पोर्टल विधिक साक्षारता और विधिक जागरूकता बारे में आईईसी सामग्री विवरणिका पुस्तिका पत्रिका वेबिनार डिजिटल पुस्तकालय विभिन्न भाषाओं में जानकारी वीडियो राष्ट्रीय विधिक सेवा प्राधिकरण (नालसा) बारे में नासला पोर्टल नालसा को सहायता अनुदान संविधान@75 हमारा संविधान हमारा सम्मान के बारे में सबको न्याय-हर घर न्याय अवलोकन गतिविधियाँ नव भारत नव संकल्प अवलोकन गतिविधियाँ विधि जागृति अभियान अवलोकन गतिविधियाँ मिडिया गैलरी फोटो गैलरी वीडियो मीडिया कॉर्नर प्रेस विज्ञप्ति फोटो गैलरी वीडियो गैलरी इवेंट्स आजादी का अमृत महोत्सव राष्ट्रीय विधिक सेवा प्राधिकरण टेली-लॉ अन्य कार्यक्रम AV कार्नर अन्य संसदीय प्रश्न नोटिस नियुक्ति निविदाएं सूचना का अधिकार पीएफ़एमएस आदेश योजना – समेकित दिशानिर्देश English हिन्दी Close मुख्य पृष्ठ राज्यसभा-बजट सत्र-2022 Print फेसबुक पर साझा करें Share on X Share on Linkedin राज्यसभा-बजट सत्र-2022 राज्यसभा-बजट सत्र-2022 क्र सं. प्र.सं. प्रश्न प्रकार तारीख विषय उत्तर 1 379 तारांकित 07.04.2022 अधीनस्थ न्यायालयों में अवसंरचना Hindi (PDF 548KB) 2 4038 अतारांकित 07.04.2022 Case Clearance Rate in High Courts Hindi (PDF 749KB) 3 4101 अतारांकित 07.04.2022 Facilities in court complexes Hindi (PDF 548KB) 4 4102 अतारांकित 07.04.2022 Infrastructure development for judiciary in Bihar Hindi (PDF 553KB) 5 4103 अतारांकित 07.04.2022 Setting up of High Court Bench at Meerut Hindi (PDF 451KB) 6 4104 अतारांकित 07.04.2022 Infrastructure at court complexes Hindi (PDF 485KB) 7 4105 अतारांकित 07.04.2022 Need to increase judges in High Courts Hindi (PDF 480KB) 8 4106 अतारांकित 07.04.2022 Legal Aid to the Disabled Hindi (PDF 472KB) 9 4107 अतारांकित 07.04.2022 Use of advance technology at Courts Hindi (PDF 482KB) 10 4109 अतारांकित 07.04.2022 Permitted Language for the functioning of State High Courts Hindi (PDF 460KB) 11 4111 अतारांकित 07.04.2022 Pro Bono Legal Aid Hindi (PDF 529KB) 12 4114 अतारांकित 07.04.2022 Expenditure on judicial infrastructure Hindi (PDF 474KB) 13 4117 अतारांकित 07.04.2022 Pending Court Cases Hindi (PDF 548KB) 14 4118 अतारांकित 07.04.2022 Pendency of Cases in Courts Hindi (PDF 496KB) 15 3281 अतारांकित 31.03.2022 Pending cases in Rajasthan Hindi (PDF 474KB) 16 3315 अतारांकित 31.03.2022 Judges belonging to SC,ST and OBC communities Hindi (PDF 500KB) 17 3316 अतारांकित 31.03.2022 Complaints against judges Hindi (PDF 482KB) 18 3321 अतारांकित 31.03.2022 Lack of judicial infrastructure Hindi (PDF 479KB) 19 3322 अतारांकित 31.03.2022 Virtual hearing policy in the Courts Hindi (PDF 482KB) 20 3323 अतारांकित 31.03.2022 Pendency in the High Court of Uttar Pradesh Hindi (PDF 490KB) 21 2501 अतारांकित 24.03.2022 Aims and objective of Nyaya Mitra Yojana Hindi (PDF 482KB) 22 2503 अतारांकित 24.03.2022 Steps to separate judiciary from executive Hindi (PDF 458KB) 23 2504 अतारांकित 24.03.2022 Centrally Sponsored Schemes for judicial infrastructure Hindi (PDF 492KB) 24 2507 अतारांकित 24.03.2022 Land dispute cases in rural areas of Karnataka Hindi (PDF 475KB) 25 2508 अतारांकित 24.03.2022 Proposal to set up more e-Lok Adalats in the country Hindi (PDF 590KB) 26 2509 अतारांकित 24.03.2022 Vacancies in High Courts Hindi (PDF 523KB) 27 2522 अतारांकित 24.03.2022 States without High Courts Hindi (PDF 619KB) 28 2556 अतारांकित 24.03.2022 Funds for upgradation of judicial infrastructure Hindi (PDF 747KB) 29 166 तारांकित 17.03.2022 Appointment of judges from various communities Hindi (PDF 479KB) 30 174 तारांकित 17.03.2022 Modernization of district courts of Madhya Pradesh Hindi (PDF 484KB) 31 1870 अतारांकित 17.03.2022 Pending cases in Lok Adalats Hindi (PDF 135KB) 32 1871 अतारांकित 17.03.2022 Disposal of commercial disputes to promote Ease Of Doing Business Hindi (PDF 507KB) 33 1872 अतारांकित 17.03.2022 Stand of Government on appointment of judges Hindi (PDF 123KB) 34 1873 अतारांकित 17.03.2022 Appointment of Judges in the High Courts Hindi (PDF 683KB) 35 1874 अतारांकित 17.03.2022 Publication of law reports Hindi (PDF 470KB) 36 1875 अतारांकित 17.03.2022 Establishment of National Judicial Infrastructure Hindi (PDF 677KB) 37 1876 अतारांकित 17.03.2022 Online courts for ensuring fair trial Hindi (PDF 484KB) 38 1878 अतारांकित 17.03.2022 Vacancy of Judges in Calcutta High Court Hindi (PDF 457KB) 39 1880 अतारांकित 17.03.2022 National Judicial Infrastructure Authority of India Hindi (PDF 476KB) 40 1881 अतारांकित 17.03.2022 Infrastructure Development of Subordinate Courts Hindi (PDF 472KB) 41 1064 अतारांकित 10.02.2022 Proposal to set up Fast Track Courts for undertrials Hindi (PDF 150KB) 42 1065 अतारांकित 10.02.2022 Gram Nyayalayas in Karnataka Hindi (PDF 92KB) 43 1066 अतारांकित 10.02.2022 Compliance of direction of the Supreme Court Hindi (PDF 376KB) 44 1067 अतारांकित 10.02.2022 Cases pending in Lok Adalats across the country Hindi (PDF 287KB) 45 1069 अतारांकित 10.02.2022 Initiative to maintain independence of Judiciary Hindi (PDF 149KB) 46 1070 अतारांकित 10.02.2022 Inadequate Fast Track Courts and vacancies in Courts Hindi (PDF 141KB) 47 1071 अतारांकित 10.02.2022 Clearance of proposals for pending vacancies in the High Courts Hindi (PDF 192KB) 48 1074 अतारांकित 10.02.2022 Lok Adalats in rural areas Hindi (PDF 385KB) 49 1075 अतारांकित 10.02.2022 Access to justice for the poor Hindi (PDF 177KB) 50 18 तारांकित 03.02.2022 Number of Women Judges in Courts Hindi (PDF 215KB) 51 266 अतारांकित 03.02.2022 Computerization of Courts in Jharkhand Hindi (PDF 136KB) 52 267 अतारांकित 03.02.2022 e-Court mission Hindi (PDF 227KB) 53 268 अतारांकित 03.02.2022 Strength of Judges in the Supreme Court and High Courts Hindi (PDF 163KB) 54 270 अतारांकित 03.02.2022 Status of functional courtrooms in the country Hindi (PDF 281KB) 55 273 अतारांकित 03.02.2022 Transparency in collegium system for appointment of Judges Hindi (PDF 194KB) 56 275 अतारांकित 03.02.2022 Scheme for development of infrastructure in courts Hindi (PDF 177KB) 57 279 अतारांकित 03.02.2022 Reserved Vacancies Hindi (PDF 299KB) 58 280 अतारांकित 03.02.2022 Para legal Volunteers under DISHA Hindi (PDF 164KB) 59 281 अतारांकित 03.02.2022 Transparency in virtual court system Hindi (PDF 231KB) 60 282 अतारांकित 03.02.2022 Vacancies of Judges in High Court Hindi (PDF 168KB) 61 283 अतारांकित 03.02.2022 Survey by the CJI Hindi (PDF 401KB) वेबसाइट नीतियां नियम और शर्तें प्रतिक्रिया हमसे संपर्क करें सहायता अक्सर पूछे जाने वाले प्रश्न वेब सूचना प्रबंधक आगंतुक सारांश Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India अंतिम अद्यतन: Aug 11, 2025 Certified Quality Website

TABLE DATA:
क्र सं.	प्र.सं.	प्रश्न प्रकार	तारीख	विषय	उत्तर
1	379	तारांकित	07.04.2022	अधीनस्थ न्यायालयों में अवसंरचना	Hindi (PDF 548KB)
2	4038	अतारांकित	07.04.2022	Case Clearance Rate in High Courts	Hindi (PDF 749KB)
3	4101	अतारांकित	07.04.2022	Facilities in court complexes	Hindi (PDF 548KB)
4	4102	अतारांकित	07.04.2022	Infrastructure development for judiciary in Bihar	Hindi (PDF 553KB)
5	4103	अतारांकित	07.04.2022	Setting up of High Court Bench at Meerut	Hindi (PDF 451KB)
6	4104	अतारांकित	07.04.2022	Infrastructure at court complexes	Hindi (PDF 485KB)
7	4105	अतारांकित	07.04.2022	Need to increase judges in High Courts	Hindi (PDF 480KB)
8	4106	अतारांकित	07.04.2022	Legal Aid to the Disabled	Hindi (PDF 472KB)
9	4107	अतारांकित	07.04.2022	Use of advance technology at Courts	Hindi (PDF 482KB)
10	4109	अतारांकित	07.04.2022	Permitted Language for the functioning of State High Courts	Hindi (PDF 460KB)
11	4111	अतारांकित	07.04.2022	Pro Bono Legal Aid	Hindi (PDF 529KB)
12	4114	अतारांकित	07.04.2022	Expenditure on judicial infrastructure	Hindi (PDF 474KB)
13	4117	अतारांकित	07.04.2022	Pending Court Cases	Hindi (PDF 548KB)
14	4118	अतारांकित	07.04.2022	Pendency of Cases in Courts	Hindi (PDF 496KB)
15	3281	अतारांकित	31.03.2022	Pending cases in Rajasthan	Hindi (PDF 474KB)
16	3315	अतारांकित	31.03.2022	Judges belonging to SC,ST and OBC communities	Hindi (PDF 500KB)
17	3316	अतारांकित	31.03.2022	Complaints against judges	Hindi (PDF 482KB)
18	3321	अतारांकित	31.03.2022	Lack of judicial infrastructure	Hindi (PDF 479KB)
19	3322	अतारांकित	31.03.2022	Virtual hearing policy in the Courts	Hindi (PDF 482KB)
20	3323	अतारांकित	31.03.2022	Pendency in the High Court of Uttar Pradesh	Hindi (PDF 490KB)
21	2501	अतारांकित	24.03.2022	Aims and objective of Nyaya Mitra Yojana	Hindi (PDF 482KB)
22	2503	अतारांकित	24.03.2022	Steps to separate judiciary from executive	Hindi (PDF 458KB)
23	2504	अतारांकित	24.03.2022	Centrally Sponsored Schemes for judicial infrastructure	Hindi (PDF 492KB)
24	2507	अतारांकित	24.03.2022	Land dispute cases in rural areas of Karnataka	Hindi (PDF 475KB)
25	2508	अतारांकित	24.03.2022	Proposal to set up more e-Lok Adalats in the country	Hindi (PDF 590KB)
26	2509	अतारांकित	24.03.2022	Vacancies in High Courts	Hindi (PDF 523KB)
27	2522	अतारांकित	24.03.2022	States without High Courts	Hindi (PDF 619KB)
28	2556	अतारांकित	24.03.2022	Funds for upgradation of judicial infrastructure	Hindi (PDF 747KB)
29	166	तारांकित	17.03.2022	Appointment of judges from various communities	Hindi (PDF 479KB)
30	174	तारांकित	17.03.2022	Modernization of district courts of Madhya Pradesh	Hindi (PDF 484KB)
31	1870	अतारांकित	17.03.2022	Pending cases in Lok Adalats	Hindi (PDF 135KB)
32	1871	अतारांकित	17.03.2022	Disposal of commercial disputes to promote Ease Of Doing Business	Hindi (PDF 507KB)
33	1872	अतारांकित	17.03.2022	Stand of Government on appointment of judges	Hindi (PDF 123KB)
34	1873	अतारांकित	17.03.2022	Appointment of Judges in the High Courts	Hindi (PDF 683KB)
35	1874	अतारांकित	17.03.2022	Publication of law reports	Hindi (PDF 470KB)
36	1875	अतारांकित	17.03.2022	Establishment of National Judicial Infrastructure	Hindi (PDF 677KB)
37	1876	अतारांकित	17.03.2022	Online courts for ensuring fair trial	Hindi (PDF 484KB)
38	1878	अतारांकित	17.03.2022	Vacancy of Judges in Calcutta High Court	Hindi (PDF 457KB)
39	1880	अतारांकित	17.03.2022	National Judicial Infrastructure Authority of India	Hindi (PDF 476KB)
40	1881	अतारांकित	17.03.2022	Infrastructure Development of Subordinate Courts	Hindi (PDF 472KB)
41	1064	अतारांकित	10.02.2022	Proposal to set up Fast Track Courts for undertrials	Hindi (PDF 150KB)
42	1065	अतारांकित	10.02.2022	Gram Nyayalayas in Karnataka	Hindi (PDF 92KB)
43	1066	अतारांकित	10.02.2022	Compliance of direction of the Supreme Court	Hindi (PDF 376KB)
44	1067	अतारांकित	10.02.2022	Cases pending in Lok Adalats across the country	Hindi (PDF 287KB)
45	1069	अतारांकित	10.02.2022	Initiative to maintain independence of Judiciary	Hindi (PDF 149KB)
46	1070	अतारांकित	10.02.2022	Inadequate Fast Track Courts and vacancies in Courts	Hindi (PDF 141KB)
47	1071	अतारांकित	10.02.2022	Clearance of proposals for pending vacancies in the High Courts	Hindi (PDF 192KB)
48	1074	अतारांकित	10.02.2022	Lok Adalats in rural areas	Hindi (PDF 385KB)
49	1075	अतारांकित	10.02.2022	Access to justice for the poor	Hindi (PDF 177KB)
50	18	तारांकित	03.02.2022	Number of Women Judges in Courts	Hindi (PDF 215KB)
51	266	अतारांकित	03.02.2022	Computerization of Courts in Jharkhand	Hindi (PDF 136KB)
52	267	अतारांकित	03.02.2022	e-Court mission	Hindi (PDF 227KB)
53	268	अतारांकित	03.02.2022	Strength of Judges in the Supreme Court and High Courts	Hindi (PDF 163KB)
54	270	अतारांकित	03.02.2022	Status of functional courtrooms in the country	Hindi (PDF 281KB)
55	273	अतारांकित	03.02.2022	Transparency in collegium system for appointment of Judges	Hindi (PDF 194KB)
56	275	अतारांकित	03.02.2022	Scheme for development of infrastructure in courts	Hindi (PDF 177KB)
57	279	अतारांकित	03.02.2022	Reserved Vacancies	Hindi (PDF 299KB)
58	280	अतारांकित	03.02.2022	Para legal Volunteers under DISHA	Hindi (PDF 164KB)
59	281	अतारांकित	03.02.2022	Transparency in virtual court system	Hindi (PDF 231KB)
60	282	अतारांकित	03.02.2022	Vacancies of Judges in High Court	Hindi (PDF 168KB)
61	283	अतारांकित	03.02.2022	Survey by the CJI	Hindi (PDF 401KB)
