Latest Orders of Appointment, Transfer etc. | Department of Justice | India Search Search Accessibility Tools Accessibility Tools Color Contrast High Contrast Normal Contrast Highlight Links Invert Saturation Text Size Font Size Increase Font Size Decrease Normal Font Text Spacing Line Height Other controls Screen Reader Hide Images English हिन्दी विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle More Home About Us History About Department Vision and Mission Functions of Department Organization Chart Administrative Setup Who’s Who Monthly Achievements Citizens’ Charter Acts and Rules Website Information Manager Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Memorandum of procedure of appointment of Supreme Court Judges Memorandum of procedure of appointment of High Court Judges List of Supreme Court Judges List of High Court Judges List of Chief Justice of the High Court Vacancy Positions High Courts Principal Seats and benches Justice-I Pay, Allowance and Pension First National Judicial Pay Commission Second National Judicial Pay Commission Memorandum of Understanding signed with other countries Pecuniary Jurisdiction of Delhi District Courts Use of Hindi and regional languages Redressal of Public Grievances Guidelines of Grievances Justice-II Fast Track Special Court (FTSCs) About Fast Track Special Court (FTSCs) Portal Special Courts for MP/MLA About Special Courts for MP/MLA Portal Sanctions Fast Track Court About Fast Track Court Portal Family Court About Family Court Portal National Judicial Academy About National Judicial Academy Website PFMS National Mission National Mission for Justice Delivery & Legal Reforms Vision Document Advisory Council CSS Judicial Infrastructure – Nyaya Vikas Ease of Doing Business Gram Nyayalaya Scheme for Action Research and Studies on Judicial Reforms Vacancy Position in District and Subordinate Courts eCourts MMP Dashboard Phase-I Phase-II Phase-III Composition of eCommittee eCommittee Newsletters eCourts Achievements Computerization and WAN connectivity CIS and COVID Management Software Patch The National Judicial Data Grid (NJDG) Virtual Courts Video Conferencing Live Streaming eFiling e-Payments eSewa Kendra eCourt Services Judgment Search Portal National Service and Tracking of Electronic Processes (NSTEP) Justice Clock Secure, Scalable & Sugamya Website as a Service (S3WAAS) Digitization of Records Information, Education & Communication (IEC) Awards and Recognition MIS Portal for CPCs (Official Use Only) WAN Monitoring Portal (Official Use Only) Training and Awareness Programs PFMS Access to Justice Designing Innovative Solutions for Holistic Access to Justice Tele Law About Tele Law Portal Pamphlet In Media Nyaya Bandhu (Pro Bono Legal Services) About Activities In Media Pamphlet Nyaya Bandhu (Pro Bono) Portal Legal Literacy & Legal Awareness About IEC Material Brochure Pamphlet Leaflet Webinars In Media Digital Library Information in Different Languages Videos National Legal Services Authority (NALSA) About NALSA Portal Grants-in-aid to NALSA Legal Aid Defense Counsel System (LADCS) Scheme Samvidhan@75 About Hamara Samvidhan Hamara Samman Hamara Samvidhan Hamara Samman portal Sabko Nyay- Har Ghar Nyaya Overview Activities Nav Bharat Nav Sankalp Overview Activities Vidhi Jagriti Abhiyan Overview Activities Samvidhan Katta About Guidelines for Submission Media Event National Event Overview Media Gallery 1st Regional Event Overview Media Gallery 2nd Regional Event Overview Media Gallery 3rd Regional Event Overview Media Gallery 4th Regional Event Overview Media Gallery Gallery Photos Videos Media Corner Press Release Photo Gallery Video Gallery Events Dashboard Azadi Ka Amrit Mahotsav National Legal Services Authority (NALSA) Tele-Law Other Programmes Others Parliament Questions Notices Recruitments Tenders Right to Information (RTI) PFMS Orders Schemes – Consolidated Guidelines Close Home Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Print Share on Facebook Share on X Share on Linkedin Latest Orders of Appointment, Transfer etc. Latest Orders of Appointment, Transfer etc. Title View / Download Order of appointment of Sh. Justice Subhendu Samanta, Addl. Judge as Addl. Judge of Calcutta HC for fresh term of one year w.e.f. 18.05.2024 (30.01.2024) Accessible Version : View (148 KB) / Order of appointment of Sh. Pradeep Kumar Srivastava, Addl. Judge as Permanent Judge of the Jharkhand HC (30.01.2024) Accessible Version : View (147 KB) / Order of appointment of Smt. Justice Shoba A. Eapen, Addl. Judge as Permanent Judge of Kerala HC (30.01.2024) Accessible Version : View (150 KB) / Order of appointment of Smt. Justice Lapita Banerji, Addl. Judge as Permanent Judge of P&H High Court (30.01.2024) Accessible Version : View (188 KB) / Order of appointment of Smt. Justice Shampa Dutt (Paul) and 01 other Addl. Judge as Permanent Judges of Calcutta High Court (30.01.2024) Accessible Version : View (155 KB) / Order of appointment of Ms. Justice Ananya Bandyopadhya and 01 other Addl. Judge as Permanent Judges of Calcutta High Court (30.01.2024) Accessible Version : View (155 KB) / Order of appointment of Sh. Justice P.S. Dinesh Kumar, Judge of Karnataka High Court as Acting CJ of Karnataka High Court (24.01.2024) Accessible Version : View (150 KB) / Order of appointment Sh. Justice P.B. Varale, CJ of Karnataka High Court as Judge of the Supreme Court (24.01.2024) Accessible Version : View (159 KB) / Order of appointment of Sh. Justice Abhay Ahuja, Addl. Judge as Permanent Judge of Bombay High Court (23.01.2024) Accessible Version : View (163 KB) / Order of Appointment of Shri Justice Rahul Bharti and 01 other Addl Judges of J&K and Ladakh HC as Permanent Judges of that HC (22.01.2024) Accessible Version : View (182 KB) / Order of appointment Shri Arvind Kumar Verma, JO as an Addl. Judge of Chhattisgarh HC (22.01.2024) Accessible Version : View (142 KB) / Order of Appointment of Shri Pranav Shailesh Trivedi, Advocate as Judge of the High Court of Gujarat (19.01.2024) Accessible Version : View (229 KB) / Order of appointment of Shri Justice Shree Chandrashekhar, Judge of the Jharkhand High Court, to perform the duties of the office of the Chief Justice of that High Court (27.12.2023) Accessible Version : View (465 KB) / Order of Appointment of Shri Somasekhar Sundaresan, Adv. as an Addl. Judge of Bombay High Court (23.11.2023) Accessible Version : View (160 KB) / Order of appointment of Sh. Manoj Kumar Gupta, senior-most puisne Judge, Allahabad HC as Acting CJ of Allahabad High Court (20.11.2023) Accessible Version : View (160 KB) / Transfer of Shri Justice Bibek Chaudhuri, Judge, Calcutta High Court as a Judge of Patna High Court (13.11.2023) Accessible Version : View (768 KB) / Transfer of Shri Justice M. Sudheer Kumar, Judge, Telangana High Court as a Judge of Madras High Court (13.11.2023) Accessible Version : View (773 KB) / Transfer of Shri Justice C. Sumalatha, Judge, Telangana High Court as a Judge of Karnataka High Court (13.11.2023) Accessible Version : View (797 KB) / Transfer of Shri Justice Shekhar B. Saraf, Judge, Calcutta High Court as a Judge of Allahabad High Court. (13.11.2023) Accessible Version : View (3 MB) / Transfer of Shri Justice Vivek Kumar Singh, Judge, Allahabad High Court as a Judge of Madras High Court (13.11.2023) Accessible Version : View (741 KB) / « Prev 1 ... 7 8 9 10 11 12 13 14 15 ... 19 Next » Website Policies Hyperlinking Policy Copyright Policy Privacy Policy Terms and Conditions Feedback Contact Us Help FAQ WIM Visitor Summary Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India Last Updated: Aug 11, 2025 Certified Quality Website

TABLE DATA:
Title	View / Download
Order of appointment of Sh. Justice Subhendu Samanta, Addl. Judge as Addl. Judge of Calcutta HC for fresh term of one year w.e.f. 18.05.2024 (30.01.2024)	Accessible Version : View (148 KB) /
Order of appointment of Sh. Pradeep Kumar Srivastava, Addl. Judge as Permanent Judge of the Jharkhand HC (30.01.2024)	Accessible Version : View (147 KB) /
Order of appointment of Smt. Justice Shoba A. Eapen, Addl. Judge as Permanent Judge of Kerala HC (30.01.2024)	Accessible Version : View (150 KB) /
Order of appointment of Smt. Justice Lapita Banerji, Addl. Judge as Permanent Judge of P&H High Court (30.01.2024)	Accessible Version : View (188 KB) /
Order of appointment of Smt. Justice Shampa Dutt (Paul) and 01 other Addl. Judge as Permanent Judges of Calcutta High Court (30.01.2024)	Accessible Version : View (155 KB) /
Order of appointment of Ms. Justice Ananya Bandyopadhya and 01 other Addl. Judge as Permanent Judges of Calcutta High Court (30.01.2024)	Accessible Version : View (155 KB) /
Order of appointment of Sh. Justice P.S. Dinesh Kumar, Judge of Karnataka High Court as Acting CJ of Karnataka High Court (24.01.2024)	Accessible Version : View (150 KB) /
Order of appointment Sh. Justice P.B. Varale, CJ of Karnataka High Court as Judge of the Supreme Court (24.01.2024)	Accessible Version : View (159 KB) /
Order of appointment of Sh. Justice Abhay Ahuja, Addl. Judge as Permanent Judge of Bombay High Court (23.01.2024)	Accessible Version : View (163 KB) /
Order of Appointment of Shri Justice Rahul Bharti and 01 other Addl Judges of J&K and Ladakh HC as Permanent Judges of that HC (22.01.2024)	Accessible Version : View (182 KB) /
Order of appointment Shri Arvind Kumar Verma, JO as an Addl. Judge of Chhattisgarh HC (22.01.2024)	Accessible Version : View (142 KB) /
Order of Appointment of Shri Pranav Shailesh Trivedi, Advocate as Judge of the High Court of Gujarat (19.01.2024)	Accessible Version : View (229 KB) /
Order of appointment of Shri Justice Shree Chandrashekhar, Judge of the Jharkhand High Court, to perform the duties of the office of the Chief Justice of that High Court (27.12.2023)	Accessible Version : View (465 KB) /
Order of Appointment of Shri Somasekhar Sundaresan, Adv. as an Addl. Judge of Bombay High Court (23.11.2023)	Accessible Version : View (160 KB) /
Order of appointment of Sh. Manoj Kumar Gupta, senior-most puisne Judge, Allahabad HC as Acting CJ of Allahabad High Court (20.11.2023)	Accessible Version : View (160 KB) /
Transfer of Shri Justice Bibek Chaudhuri, Judge, Calcutta High Court as a Judge of Patna High Court (13.11.2023)	Accessible Version : View (768 KB) /
Transfer of Shri Justice M. Sudheer Kumar, Judge, Telangana High Court as a Judge of Madras High Court (13.11.2023)	Accessible Version : View (773 KB) /
Transfer of Shri Justice C. Sumalatha, Judge, Telangana High Court as a Judge of Karnataka High Court (13.11.2023)	Accessible Version : View (797 KB) /
Transfer of Shri Justice Shekhar B. Saraf, Judge, Calcutta High Court as a Judge of Allahabad High Court. (13.11.2023)	Accessible Version : View (3 MB) /
Transfer of Shri Justice Vivek Kumar Singh, Judge, Allahabad High Court as a Judge of Madras High Court (13.11.2023)	Accessible Version : View (741 KB) /
