Latest Orders of Appointment, Transfer etc. | Department of Justice | India Search Search Accessibility Tools Accessibility Tools Color Contrast High Contrast Normal Contrast Highlight Links Invert Saturation Text Size Font Size Increase Font Size Decrease Normal Font Text Spacing Line Height Other controls Screen Reader Hide Images English हिन्दी विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle More Home About Us History About Department Vision and Mission Functions of Department Organization Chart Administrative Setup Who’s Who Monthly Achievements Citizens’ Charter Acts and Rules Website Information Manager Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Memorandum of procedure of appointment of Supreme Court Judges Memorandum of procedure of appointment of High Court Judges List of Supreme Court Judges List of High Court Judges List of Chief Justice of the High Court Vacancy Positions High Courts Principal Seats and benches Justice-I Pay, Allowance and Pension First National Judicial Pay Commission Second National Judicial Pay Commission Memorandum of Understanding signed with other countries Pecuniary Jurisdiction of Delhi District Courts Use of Hindi and regional languages Redressal of Public Grievances Guidelines of Grievances Justice-II Fast Track Special Court (FTSCs) About Fast Track Special Court (FTSCs) Portal Special Courts for MP/MLA About Special Courts for MP/MLA Portal Sanctions Fast Track Court About Fast Track Court Portal Family Court About Family Court Portal National Judicial Academy About National Judicial Academy Website PFMS National Mission National Mission for Justice Delivery & Legal Reforms Vision Document Advisory Council CSS Judicial Infrastructure – Nyaya Vikas Ease of Doing Business Gram Nyayalaya Scheme for Action Research and Studies on Judicial Reforms Vacancy Position in District and Subordinate Courts eCourts MMP Dashboard Phase-I Phase-II Phase-III Composition of eCommittee eCommittee Newsletters eCourts Achievements Computerization and WAN connectivity CIS and COVID Management Software Patch The National Judicial Data Grid (NJDG) Virtual Courts Video Conferencing Live Streaming eFiling e-Payments eSewa Kendra eCourt Services Judgment Search Portal National Service and Tracking of Electronic Processes (NSTEP) Justice Clock Secure, Scalable & Sugamya Website as a Service (S3WAAS) Digitization of Records Information, Education & Communication (IEC) Awards and Recognition MIS Portal for CPCs (Official Use Only) WAN Monitoring Portal (Official Use Only) Training and Awareness Programs PFMS Access to Justice Designing Innovative Solutions for Holistic Access to Justice Tele Law About Tele Law Portal Pamphlet In Media Nyaya Bandhu (Pro Bono Legal Services) About Activities In Media Pamphlet Nyaya Bandhu (Pro Bono) Portal Legal Literacy & Legal Awareness About IEC Material Brochure Pamphlet Leaflet Webinars In Media Digital Library Information in Different Languages Videos National Legal Services Authority (NALSA) About NALSA Portal Grants-in-aid to NALSA Legal Aid Defense Counsel System (LADCS) Scheme Samvidhan@75 About Hamara Samvidhan Hamara Samman Hamara Samvidhan Hamara Samman portal Sabko Nyay- Har Ghar Nyaya Overview Activities Nav Bharat Nav Sankalp Overview Activities Vidhi Jagriti Abhiyan Overview Activities Samvidhan Katta About Guidelines for Submission Media Event National Event Overview Media Gallery 1st Regional Event Overview Media Gallery 2nd Regional Event Overview Media Gallery 3rd Regional Event Overview Media Gallery 4th Regional Event Overview Media Gallery Gallery Photos Videos Media Corner Press Release Photo Gallery Video Gallery Events Dashboard Azadi Ka Amrit Mahotsav National Legal Services Authority (NALSA) Tele-Law Other Programmes Others Parliament Questions Notices Recruitments Tenders Right to Information (RTI) PFMS Orders Schemes – Consolidated Guidelines Close Home Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Print Share on Facebook Share on X Share on Linkedin Latest Orders of Appointment, Transfer etc. Latest Orders of Appointment, Transfer etc. Title View / Download Order of transfer of Sh. Justice C.D. Singh, Judge, Delhi High Court to Allahabad High Court (28.03.2025) Accessible Version : View (164 KB) / Order of transfer of Justice Yashwant Varma, Judge, Delhi High Court to Allahabad High Court (28.03.2025) Accessible Version : View (162 KB) / Order of appointment of Sh. Justice Sachin Singh Rajput and 2 other Addl. Judges as Addl. Judges for fresh term of one year (26.03.2025) Accessible Version : View (161 KB) / Order of appointment of Shri Justice Sumeet Goel and 02 other Addl. Judges as Permanent Judges in the P&H High Court (26.03.2025) Accessible Version : View (169 KB) / Order of appointment of Shri Anand Sharma and 03 other Advocates as Judges of Rajasthan High Court (26.03.2025) Accessible Version : View (166 KB) / Order of appointment of Shri Justice Harish Tandon, Judge, Calcutta High Court as Chief Justice of Orrisa High Court (21.03.2025) Accessible Version : View (173 KB) / Order of appointment of Shri Justice Biren A. Vaishnav, Judge, Gujarat High Court as Acting Chief Justice of Gujarat HC (19.03.2025) Accessible Version : View (168 KB) / Order of transfer of Shri Justice Atul Sreedharan, Judge, Jammu & Kashmir and Ladakh High Court as Judge of High Court of Madhya Pradesh (13.03.2025) Accessible Version : View (489 KB) / Order of appointment of Shri Justice Wasim Sadiq Nargal and 02 other Addl. Judges as Permanent Judges of J&K and Ladakh High Court (10.03.2025) Accessible Version : View (175 KB) / Order of appointment of Shri Justice Joymalya Bagchi, Judge, Calcutta High Court as a Judge of Supreme Court of India (10.03.2025) Accessible Version : View (155 KB) / Order of appointment of Smt. Smita Das De and 02 others as Additional Judges in the Calcutta High Court (08.03.2025) Accessible Version : View (463 KB) / Order of appointment of Shri Alok Kumar Sinha and 02 other Advocates as Judges of Patna High Court (07.03.2025) Accessible Version : View (152 KB) / Order of appointment of Smt. Justice Manjusha Ajay Deshpande, Addl. Judge as an Addl. Judge of Bombay HC for fresh term of 1 year w.e.f. 12.08.2025 (04.03.2025) Accessible Version : View (168 KB) / Order of appointment of Shri Justice Shailesh Pramod Brahme and 02 other Addl. Judges as Permanent Judge of Bombay High Court (04.03.2025) Accessible Version : View (177 KB) / Order of appointment of Shri Justice Ramasamy Sakthivel and 03 other Addl. Judges as Permanent Judges of Madras High Court (04.03.2025) Accessible Version : View (165 KB) / Order of appointment of Smt. Renu Bhatnagar and 01 other, Judges in the Delhi High Court (19.02.2025) Accessible Version : View (387 KB) / Order of appointment of Shri Justice B. A. Vaishnav, Judge, Gujarat HC as Acting Chief Justice of Gujarat High Court (17.02.2025) Accessible Version : View (166 KB) / Order of appointment of Shri Maneesh Sharma, Advocate as a Judge of the Rajasthan High Court (14.02.2025) Accessible Version : View (154 KB) / Order of appointment of Smt. Chaitali Chatterjee (Das), Judicial Officer as an Addl. Judge of the Calcutta High Court (12.02.2025) Accessible Version : View (153 KB) / Order of appointment of Smt. Yarenjungla Longkumer, Judicial Officer as an Addl. Judge of the Gauhati High Court (12.02.2025) Accessible Version : View (174 KB) / « Prev 1 2 3 4 5 6 7 8 9 ... 19 Next » Website Policies Hyperlinking Policy Copyright Policy Privacy Policy Terms and Conditions Feedback Contact Us Help FAQ WIM Visitor Summary Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India Last Updated: Aug 11, 2025 Certified Quality Website

TABLE DATA:
Title	View / Download
Order of transfer of Sh. Justice C.D. Singh, Judge, Delhi High Court to Allahabad High Court (28.03.2025)	Accessible Version : View (164 KB) /
Order of transfer of Justice Yashwant Varma, Judge, Delhi High Court to Allahabad High Court (28.03.2025)	Accessible Version : View (162 KB) /
Order of appointment of Sh. Justice Sachin Singh Rajput and 2 other Addl. Judges as Addl. Judges for fresh term of one year (26.03.2025)	Accessible Version : View (161 KB) /
Order of appointment of Shri Justice Sumeet Goel and 02 other Addl. Judges as Permanent Judges in the P&H High Court (26.03.2025)	Accessible Version : View (169 KB) /
Order of appointment of Shri Anand Sharma and 03 other Advocates as Judges of Rajasthan High Court (26.03.2025)	Accessible Version : View (166 KB) /
Order of appointment of Shri Justice Harish Tandon, Judge, Calcutta High Court as Chief Justice of Orrisa High Court (21.03.2025)	Accessible Version : View (173 KB) /
Order of appointment of Shri Justice Biren A. Vaishnav, Judge, Gujarat High Court as Acting Chief Justice of Gujarat HC (19.03.2025)	Accessible Version : View (168 KB) /
Order of transfer of Shri Justice Atul Sreedharan, Judge, Jammu & Kashmir and Ladakh High Court as Judge of High Court of Madhya Pradesh (13.03.2025)	Accessible Version : View (489 KB) /
Order of appointment of Shri Justice Wasim Sadiq Nargal and 02 other Addl. Judges as Permanent Judges of J&K and Ladakh High Court (10.03.2025)	Accessible Version : View (175 KB) /
Order of appointment of Shri Justice Joymalya Bagchi, Judge, Calcutta High Court as a Judge of Supreme Court of India (10.03.2025)	Accessible Version : View (155 KB) /
Order of appointment of Smt. Smita Das De and 02 others as Additional Judges in the Calcutta High Court (08.03.2025)	Accessible Version : View (463 KB) /
Order of appointment of Shri Alok Kumar Sinha and 02 other Advocates as Judges of Patna High Court (07.03.2025)	Accessible Version : View (152 KB) /
Order of appointment of Smt. Justice Manjusha Ajay Deshpande, Addl. Judge as an Addl. Judge of Bombay HC for fresh term of 1 year w.e.f. 12.08.2025 (04.03.2025)	Accessible Version : View (168 KB) /
Order of appointment of Shri Justice Shailesh Pramod Brahme and 02 other Addl. Judges as Permanent Judge of Bombay High Court (04.03.2025)	Accessible Version : View (177 KB) /
Order of appointment of Shri Justice Ramasamy Sakthivel and 03 other Addl. Judges as Permanent Judges of Madras High Court (04.03.2025)	Accessible Version : View (165 KB) /
Order of appointment of Smt. Renu Bhatnagar and 01 other, Judges in the Delhi High Court (19.02.2025)	Accessible Version : View (387 KB) /
Order of appointment of Shri Justice B. A. Vaishnav, Judge, Gujarat HC as Acting Chief Justice of Gujarat High Court (17.02.2025)	Accessible Version : View (166 KB) /
Order of appointment of Shri Maneesh Sharma, Advocate as a Judge of the Rajasthan High Court (14.02.2025)	Accessible Version : View (154 KB) /
Order of appointment of Smt. Chaitali Chatterjee (Das), Judicial Officer as an Addl. Judge of the Calcutta High Court (12.02.2025)	Accessible Version : View (153 KB) /
Order of appointment of Smt. Yarenjungla Longkumer, Judicial Officer as an Addl. Judge of the Gauhati High Court (12.02.2025)	Accessible Version : View (174 KB) /
