Past Recruitments | Department of Justice | India Search Search Accessibility Tools Accessibility Tools Color Contrast High Contrast Normal Contrast Highlight Links Invert Saturation Text Size Font Size Increase Font Size Decrease Normal Font Text Spacing Line Height Other controls Screen Reader Hide Images English हिन्दी विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle More Home About Us History About Department Vision and Mission Functions of Department Organization Chart Administrative Setup Who’s Who Monthly Achievements Citizens’ Charter Acts and Rules Website Information Manager Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Memorandum of procedure of appointment of Supreme Court Judges Memorandum of procedure of appointment of High Court Judges List of Supreme Court Judges List of High Court Judges List of Chief Justice of the High Court Vacancy Positions High Courts Principal Seats and benches Justice-I Pay, Allowance and Pension First National Judicial Pay Commission Second National Judicial Pay Commission Memorandum of Understanding signed with other countries Pecuniary Jurisdiction of Delhi District Courts Use of Hindi and regional languages Redressal of Public Grievances Guidelines of Grievances Justice-II Fast Track Special Court (FTSCs) About Fast Track Special Court (FTSCs) Portal Special Courts for MP/MLA About Special Courts for MP/MLA Portal Sanctions Fast Track Court About Fast Track Court Portal Family Court About Family Court Portal National Judicial Academy About National Judicial Academy Website PFMS National Mission National Mission for Justice Delivery & Legal Reforms Vision Document Advisory Council CSS Judicial Infrastructure – Nyaya Vikas Ease of Doing Business Gram Nyayalaya Scheme for Action Research and Studies on Judicial Reforms Vacancy Position in District and Subordinate Courts eCourts MMP Dashboard Phase-I Phase-II Phase-III Composition of eCommittee eCommittee Newsletters eCourts Achievements Computerization and WAN connectivity CIS and COVID Management Software Patch The National Judicial Data Grid (NJDG) Virtual Courts Video Conferencing Live Streaming eFiling e-Payments eSewa Kendra eCourt Services Judgment Search Portal National Service and Tracking of Electronic Processes (NSTEP) Justice Clock Secure, Scalable & Sugamya Website as a Service (S3WAAS) Digitization of Records Information, Education & Communication (IEC) Awards and Recognition MIS Portal for CPCs (Official Use Only) WAN Monitoring Portal (Official Use Only) Training and Awareness Programs PFMS Access to Justice Designing Innovative Solutions for Holistic Access to Justice Tele Law About Tele Law Portal Pamphlet In Media Nyaya Bandhu (Pro Bono Legal Services) About Activities In Media Pamphlet Nyaya Bandhu (Pro Bono) Portal Legal Literacy & Legal Awareness About IEC Material Brochure Pamphlet Leaflet Webinars In Media Digital Library Information in Different Languages Videos National Legal Services Authority (NALSA) About NALSA Portal Grants-in-aid to NALSA Legal Aid Defense Counsel System (LADCS) Scheme Samvidhan@75 About Hamara Samvidhan Hamara Samman Hamara Samvidhan Hamara Samman portal Sabko Nyay- Har Ghar Nyaya Overview Activities Nav Bharat Nav Sankalp Overview Activities Vidhi Jagriti Abhiyan Overview Activities Samvidhan Katta About Guidelines for Submission Media Event National Event Overview Media Gallery 1st Regional Event Overview Media Gallery 2nd Regional Event Overview Media Gallery 3rd Regional Event Overview Media Gallery 4th Regional Event Overview Media Gallery Gallery Photos Videos Media Corner Press Release Photo Gallery Video Gallery Events Dashboard Azadi Ka Amrit Mahotsav National Legal Services Authority (NALSA) Tele-Law Other Programmes Others Parliament Questions Notices Recruitments Tenders Right to Information (RTI) PFMS Orders Schemes – Consolidated Guidelines Close Home Past Notices Recruitments Print Share on Facebook Share on X Share on Linkedin Recruitments Filter Past Recruitments Filter Recruitments Title Description Start Date End Date File Calling Application for the Post of two Senior Consultants and one Consultant. 16/06/2025 30/06/2025 View (186 KB) Download Engagement of Retired CSSS Officers as Consultant on contract basis in the Department of Justice -reg. 24/04/2025 09/05/2025 View (1 MB) Download Calling Application for the post of Consultant (Project Officer). 04/04/2025 04/05/2025 View (322 KB) Download Engagement of Retired government Officers as Consultant (Hindi) in the Official Language Section of the Department of Justice 05/03/2025 20/03/2025 View (3 MB) Download Corrigendum 25/11/2024 08/12/2024 View (183 KB) Download Calling application for the Post of Program Manager. 28/09/2024 12/10/2024 View (242 KB) Download Engagement of Retired Government Officers as Consultants in Department of Justice-regarding. 21/08/2024 31/08/2024 View (1 MB) Download Guidelines for LLB Internship programme in the Department of Justice Link to fill the registration form https://dashboard.doj.gov.in/internship/ 01/08/2024 05/08/2024 View (3 MB) Download Calling application for the post of Program Coordinator / Manager / Associates. 08/06/2024 18/07/2024 View (545 KB) Download Guidelines for LLB Internship programme in the Department of Justice https://dashboard.doj.gov.in/internship/ View (2 MB) Download Calling application for the post of web developer. 26/03/2024 16/04/2024 View (132 KB) Download Engagement of Retired Government Officers as Consultants in Department of Justice-regarding. 06/03/2024 16/03/2024 View (1 MB) Download Calling Application for the Post of Statistician. 12/02/2024 04/03/2024 View (131 KB) Download Hiring of 01(One) Legal Consultant on contract basis in the Department of Justice-regarding. 13/02/2024 27/02/2024 View (3 MB) Download Calling Application for the Post of Web GIS Professional. 09/12/2023 23/01/2024 View (341 KB) Download Engagement of Retired Government Officers as Consultants in Department of Justice- regarding. 04/10/2023 14/10/2023 View (1 MB) Download Engagement of Program Assistant (Accounts) on contractual basis under DISHA Scheme of A2J division of Department of Justice. 04/08/2023 19/08/2023 View (184 KB) Download Calling Applications for the post of Consultant. 19/05/2023 03/06/2023 View (617 KB) Download Engagement of Senior Consultant/Project officer on contractual basis with Department of Justice, Government of India 23/03/2023 01/04/2023 View (2 MB) Download Engagement of MIS Consultant on contractual basis under DISHA Scheme of A2J Section of Department of Justice. 10/02/2023 24/02/2023 View (186 KB) Download Website Policies Hyperlinking Policy Copyright Policy Privacy Policy Terms and Conditions Feedback Contact Us Help FAQ WIM Visitor Summary Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India Last Updated: Aug 11, 2025 Certified Quality Website

TABLE DATA:
Title	Description	Start Date	End Date	File
Calling Application for the Post of two Senior Consultants and one Consultant.		16/06/2025	30/06/2025	View (186 KB) Download
Engagement of Retired CSSS Officers as Consultant on contract basis in the Department of Justice -reg.		24/04/2025	09/05/2025	View (1 MB) Download
Calling Application for the post of Consultant (Project Officer).		04/04/2025	04/05/2025	View (322 KB) Download
Engagement of Retired government Officers as Consultant (Hindi) in the Official Language Section of the Department of Justice		05/03/2025	20/03/2025	View (3 MB) Download
Corrigendum		25/11/2024	08/12/2024	View (183 KB) Download
Calling application for the Post of Program Manager.		28/09/2024	12/10/2024	View (242 KB) Download
Engagement of Retired Government Officers as Consultants in Department of Justice-regarding.		21/08/2024	31/08/2024	View (1 MB) Download
Guidelines for LLB Internship programme in the Department of Justice	Link to fill the registration form https://dashboard.doj.gov.in/internship/	01/08/2024	05/08/2024	View (3 MB) Download
Calling application for the post of Program Coordinator / Manager / Associates.		08/06/2024	18/07/2024	View (545 KB) Download
Guidelines for LLB Internship programme in the Department of Justice	https://dashboard.doj.gov.in/internship/			View (2 MB) Download
Calling application for the post of web developer.		26/03/2024	16/04/2024	View (132 KB) Download
Engagement of Retired Government Officers as Consultants in Department of Justice-regarding.		06/03/2024	16/03/2024	View (1 MB) Download
Calling Application for the Post of Statistician.		12/02/2024	04/03/2024	View (131 KB) Download
Hiring of 01(One) Legal Consultant on contract basis in the Department of Justice-regarding.		13/02/2024	27/02/2024	View (3 MB) Download
Calling Application for the Post of Web GIS Professional.		09/12/2023	23/01/2024	View (341 KB) Download
Engagement of Retired Government Officers as Consultants in Department of Justice- regarding.		04/10/2023	14/10/2023	View (1 MB) Download
Engagement of Program Assistant (Accounts) on contractual basis under DISHA Scheme of A2J division of Department of Justice.		04/08/2023	19/08/2023	View (184 KB) Download
Calling Applications for the post of Consultant.		19/05/2023	03/06/2023	View (617 KB) Download
Engagement of Senior Consultant/Project officer on contractual basis with Department of Justice, Government of India		23/03/2023	01/04/2023	View (2 MB) Download
Engagement of MIS Consultant on contractual basis under DISHA Scheme of A2J Section of Department of Justice.		10/02/2023	24/02/2023	View (186 KB) Download
