Videos | Department of Justice | India Search Search Accessibility Tools Accessibility Tools Color Contrast High Contrast Normal Contrast Highlight Links Invert Saturation Text Size Font Size Increase Font Size Decrease Normal Font Text Spacing Line Height Other controls Screen Reader Hide Images English हिन्दी विधि और न्याय मंत्रालय, भारत सरकार Ministry of Law and Justice, Government of India न्याय विभाग DEPARTMENT OF JUSTICE Menu Toggle More Home About Us History About Department Vision and Mission Functions of Department Organization Chart Administrative Setup Who’s Who Monthly Achievements Citizens’ Charter Acts and Rules Website Information Manager Administration of Justice Appointment of Judges Latest Orders of Appointment, Transfer etc. Memorandum of procedure of appointment of Supreme Court Judges Memorandum of procedure of appointment of High Court Judges List of Supreme Court Judges List of High Court Judges List of Chief Justice of the High Court Vacancy Positions High Courts Principal Seats and benches Justice-I Pay, Allowance and Pension First National Judicial Pay Commission Second National Judicial Pay Commission Memorandum of Understanding signed with other countries Pecuniary Jurisdiction of Delhi District Courts Use of Hindi and regional languages Redressal of Public Grievances Guidelines of Grievances Justice-II Fast Track Special Court (FTSCs) About Fast Track Special Court (FTSCs) Portal Special Courts for MP/MLA About Special Courts for MP/MLA Portal Sanctions Fast Track Court About Fast Track Court Portal Family Court About Family Court Portal National Judicial Academy About National Judicial Academy Website PFMS National Mission National Mission for Justice Delivery & Legal Reforms Vision Document Advisory Council CSS Judicial Infrastructure – Nyaya Vikas Ease of Doing Business Gram Nyayalaya Scheme for Action Research and Studies on Judicial Reforms Vacancy Position in District and Subordinate Courts eCourts MMP Dashboard Phase-I Phase-II Phase-III Composition of eCommittee eCommittee Newsletters eCourts Achievements Computerization and WAN connectivity CIS and COVID Management Software Patch The National Judicial Data Grid (NJDG) Virtual Courts Video Conferencing Live Streaming eFiling e-Payments eSewa Kendra eCourt Services Judgment Search Portal National Service and Tracking of Electronic Processes (NSTEP) Justice Clock Secure, Scalable & Sugamya Website as a Service (S3WAAS) Digitization of Records Information, Education & Communication (IEC) Awards and Recognition MIS Portal for CPCs (Official Use Only) WAN Monitoring Portal (Official Use Only) Training and Awareness Programs PFMS Access to Justice Designing Innovative Solutions for Holistic Access to Justice Tele Law About Tele Law Portal Pamphlet In Media Nyaya Bandhu (Pro Bono Legal Services) About Activities In Media Pamphlet Nyaya Bandhu (Pro Bono) Portal Legal Literacy & Legal Awareness About IEC Material Brochure Pamphlet Leaflet Webinars In Media Digital Library Information in Different Languages Videos National Legal Services Authority (NALSA) About NALSA Portal Grants-in-aid to NALSA Legal Aid Defense Counsel System (LADCS) Scheme Samvidhan@75 About Hamara Samvidhan Hamara Samman Hamara Samvidhan Hamara Samman portal Sabko Nyay- Har Ghar Nyaya Overview Activities Nav Bharat Nav Sankalp Overview Activities Vidhi Jagriti Abhiyan Overview Activities Samvidhan Katta About Guidelines for Submission Media Event National Event Overview Media Gallery 1st Regional Event Overview Media Gallery 2nd Regional Event Overview Media Gallery 3rd Regional Event Overview Media Gallery 4th Regional Event Overview Media Gallery Gallery Photos Videos Media Corner Press Release Photo Gallery Video Gallery Events Dashboard Azadi Ka Amrit Mahotsav National Legal Services Authority (NALSA) Tele-Law Other Programmes Others Parliament Questions Notices Recruitments Tenders Right to Information (RTI) PFMS Orders Schemes – Consolidated Guidelines Close Home Access to Justice Legal Literacy & Legal Awareness Digital Library Videos Print Share on Facebook Share on X Share on Linkedin Videos Last updated: 02-02-2023 Sl No. Topic of the Video Speaker Language Date Screenshot 1 Pan India Legal Literacy and Legal Awareness Programme English Mar 7, 2022 View Link 2 ಕಾನೂನುಸಂರಕ್ಷಣೆಹಾಗುಸ್ಥಳೀಯಸಂಸ್ಥೆಗಳು :- ಪರಿಸರಸಂರಕ್ಷಣೆ : ಸಾಂವಿಧಾನಿಕನಿಬಂಧನೆಗಳು Dr. M.K. Ramesh Kannada Mar 19, 2022 View Link 3 Legal Awareness on “Cheque Bounce”, viz, Dishonour of Cheques under the Indian Law English Apr 18, 2022 View Link 4 Right to Education Act, 2009 Madhubanti English Apr 30, 2022 View Link 5 बिहार मुख्यमंत्री कन्या उत्थान योजना Dr. Satyadeep Kumar Singh Hindi Apr 30, 2022 View Link 6 शिक्षा का अधिकार अधिनियम 2009 लावण्या अग्रवाल Marwari Apr 30, 2022 View Link 7 कन्या भ्रूण हत्या के खिलाफ अधिकार पूजाराजावत Marwari Apr 30, 2022 View Link 8 अफीम-डोडा क्या होता है? अफीम- डोडा के बारे में कानून Anil Patel Marwari May 12, 2022 View Link 9 POCSO Act, 2012: Rights of the Child and Grievance Redressal Mechanism Liyan D’Souza English May 13, 2022 View Link 10 राष्ट्रीय मानवाधिकार आयोग (National Human Right Commission) Dr. Anita Yadav Hindi May 14, 2022 View Link 11 Protection of Women from Sexual Harassment at Workplace Dr. Aruna English May 21, 2022 View Link 12 Rights of Senior Citizens Anuja Shah English May 24, 2022 View Link 13 भारत में बाल विवाह कानून Dr. Anjali Marwari May 25, 2022 View Link 14 Pledge World Environment Day CEERA NLSIU English Jun 5, 2022 View Link 15 Advanced Contracts, Tendering and Public Procurement Prof. (Dr.) Sairam Bhat English Jun 9, 2022 View Link 16 ಉಚಿತಮತ್ತುಕಡ್ಡಾಯಶಿಕ್ಷಣಹಕ್ಕು Dr. Shilpa ML Kannada Jun 9, 2022 View Link 17 ಪರಿಸರಸಂರಕ್ಷಣೆಮತ್ತುಪಂಚಾಯತ್ಸಂಸ್ಥೆಗಳು C N Manjappa Kannada Jun 9, 2022 View Link 18 Right to Information Act, 2005 & Filing RTI Application Online Gayatri Girish English Jun 10, 2022 View Link 19 International Yoga Day 2022 English Jun 18, 2022 View Link 20 World Refugee Day 2022 celebrated by CEERA, NLSIU Prof. (Dr.) Sairam Bhat English Jun 20, 2022 View Link 21 Awareness on International Plastic Bag Free Day Prof. (Dr.) Sairam Bhat English Jun 26, 2022 View Link 22 INTERNATIONAL DAY AGAINST DRUG ABUSE & ILLICIT TRAFFICKIN Diana John English Jul 4, 2022 View Link 23 ಉಚಿತಕಾನೂನುನೆರವುಸೇವೆಗಳು- Dr. Sathish Gowda N Dr. Sathish Gowda N Kannada Jul 17, 2022 View Link 24 Right to Legal Aid in India – Prof. (Dr.) T.R. Subramanya Prof. (Dr.) T.R. Subramanya English Jul 19, 2022 View Link 25 Lok Adalat – An Apparatus to achieve Social Justice in India – Mr. V. Suryanarayana Raju Mr. V. Suryanarayana Raju English Jul 20, 2022 View Link 26 Matrimonial Rights of Women (महिलाओं के वैवाहिकअधिकार) – Dr. Parikshet Sirohi Dr. Parikshet Sirohi Hindi Aug 4, 2022 View Link 27 Protection of Women from Domestic Violence (Bilingual – English & Kannada) – Girish KC Girish KC Bilingual English + Kannada Aug 4, 2022 View Link 28 Concept of Gift & Gift Deed – Shubhalakshmi P Shubhalakshmi P English Aug 4, 2022 View Link 29 Mediation of Matrimonial Disputes – Geethanjali K.V. Geethanjali K.V. English Aug 4, 2022 View Link 30 Real Estate & Consumer Rights – Rights & Duties of Allotees, Duties of Builders Raghav Parthasarathy English Aug 4, 2022 View Link 31 Consumer & The Law in India – by Diana John Diana John English Aug 15, 2022 View Link 32 Contracts, Agreements and Public Policy Sairam Bhat English Aug 26, 2022 View Link 33 25 Years of CEERA – Prof (Dr.) MK Ramesh Prof (Dr.) MK Ramesh English Sep 7, 2022 View Link Website Policies Hyperlinking Policy Copyright Policy Privacy Policy Terms and Conditions Feedback Contact Us Help FAQ WIM Visitor Summary Content Owned by DEPARTMENT OF JUSTICE, Ministry of Law and Justice, GOI Developed and hosted by National Informatics Centre , Ministry of Electronics & Information Technology , Government of India Last Updated: Aug 11, 2025 Certified Quality Website

TABLE DATA:
Sl No.	Topic of the Video	Speaker	Language	Date	Screenshot
1	Pan India Legal Literacy and Legal Awareness Programme		English	Mar 7, 2022	View Link
2	ಕಾನೂನುಸಂರಕ್ಷಣೆಹಾಗುಸ್ಥಳೀಯಸಂಸ್ಥೆಗಳು :- ಪರಿಸರಸಂರಕ್ಷಣೆ : ಸಾಂವಿಧಾನಿಕನಿಬಂಧನೆಗಳು	Dr. M.K. Ramesh	Kannada	Mar 19, 2022	View Link
3	Legal Awareness on “Cheque Bounce”, viz, Dishonour of Cheques under the Indian Law		English	Apr 18, 2022	View Link
4	Right to Education Act, 2009	Madhubanti	English	Apr 30, 2022	View Link
5	बिहार मुख्यमंत्री कन्या उत्थान योजना	Dr. Satyadeep Kumar Singh	Hindi	Apr 30, 2022	View Link
6	शिक्षा का अधिकार अधिनियम 2009	लावण्या अग्रवाल	Marwari	Apr 30, 2022	View Link
7	कन्या भ्रूण हत्या के खिलाफ अधिकार	पूजाराजावत	Marwari	Apr 30, 2022	View Link
8	अफीम-डोडा क्या होता है? अफीम- डोडा के बारे में कानून	Anil Patel	Marwari	May 12, 2022	View Link
9	POCSO Act, 2012: Rights of the Child and Grievance Redressal Mechanism	Liyan D’Souza	English	May 13, 2022	View Link
10	राष्ट्रीय मानवाधिकार आयोग (National Human Right Commission)	Dr. Anita Yadav	Hindi	May 14, 2022	View Link
11	Protection of Women from Sexual Harassment at Workplace	Dr. Aruna	English	May 21, 2022	View Link
12	Rights of Senior Citizens	Anuja Shah	English	May 24, 2022	View Link
13	भारत में बाल विवाह कानून	Dr. Anjali	Marwari	May 25, 2022	View Link
14	Pledge World Environment Day CEERA NLSIU		English	Jun 5, 2022	View Link
15	Advanced Contracts, Tendering and Public Procurement	Prof. (Dr.) Sairam Bhat	English	Jun 9, 2022	View Link
16	ಉಚಿತಮತ್ತುಕಡ್ಡಾಯಶಿಕ್ಷಣಹಕ್ಕು	Dr. Shilpa ML	Kannada	Jun 9, 2022	View Link
17	ಪರಿಸರಸಂರಕ್ಷಣೆಮತ್ತುಪಂಚಾಯತ್ಸಂಸ್ಥೆಗಳು	C N Manjappa	Kannada	Jun 9, 2022	View Link
18	Right to Information Act, 2005 & Filing RTI Application Online	Gayatri Girish	English	Jun 10, 2022	View Link
19	International Yoga Day 2022		English	Jun 18, 2022	View Link
20	World Refugee Day 2022 celebrated by CEERA, NLSIU	Prof. (Dr.) Sairam Bhat	English	Jun 20, 2022	View Link
21	Awareness on International Plastic Bag Free Day	Prof. (Dr.) Sairam Bhat	English	Jun 26, 2022	View Link
22	INTERNATIONAL DAY AGAINST DRUG ABUSE & ILLICIT TRAFFICKIN	Diana John	English	Jul 4, 2022	View Link
23	ಉಚಿತಕಾನೂನುನೆರವುಸೇವೆಗಳು- Dr. Sathish Gowda N	Dr. Sathish Gowda N	Kannada	Jul 17, 2022	View Link
24	Right to Legal Aid in India – Prof. (Dr.) T.R. Subramanya	Prof. (Dr.) T.R. Subramanya	English	Jul 19, 2022	View Link
25	Lok Adalat – An Apparatus to achieve Social Justice in India – Mr. V. Suryanarayana Raju	Mr. V. Suryanarayana Raju	English	Jul 20, 2022	View Link
26	Matrimonial Rights of Women (महिलाओं के वैवाहिकअधिकार) – Dr. Parikshet Sirohi	Dr. Parikshet Sirohi	Hindi	Aug 4, 2022	View Link
27	Protection of Women from Domestic Violence (Bilingual – English & Kannada) – Girish KC	Girish KC	Bilingual English + Kannada	Aug 4, 2022	View Link
28	Concept of Gift & Gift Deed – Shubhalakshmi P	Shubhalakshmi P	English	Aug 4, 2022	View Link
29	Mediation of Matrimonial Disputes – Geethanjali K.V.	Geethanjali K.V.	English	Aug 4, 2022	View Link
30	Real Estate & Consumer Rights – Rights & Duties of Allotees, Duties of Builders	Raghav Parthasarathy	English	Aug 4, 2022	View Link
31	Consumer & The Law in India – by Diana John	Diana John	English	Aug 15, 2022	View Link
32	Contracts, Agreements and Public Policy	Sairam Bhat	English	Aug 26, 2022	View Link
33	25 Years of CEERA – Prof (Dr.) MK Ramesh	Prof (Dr.) MK Ramesh	English	Sep 7, 2022	View Link
